league,team
Bundesliga,1. FC Nuremberg
Bundesliga,1. FSV Mayence 05
Bundesliga,Aix-la-Chapelle
Bundesliga,Arminia Bielefeld
Bundesliga,Augsburg
Bundesliga,Bayer 05 Uerdingen
Bundesliga,Bayer Leverkusen
Bundesliga,Bayern Munich
Bundesliga,Blau-Weiß 1890 Berlin
Bundesliga,Borussia Dortmund
Bundesliga,Borussia Mgladbach
Bundesliga,Borussia Mönchengladbach
Bundesliga,Dynamo Dresde
Bundesliga,Eintracht Braunschweig
Bundesliga,Eintracht Francfort
Bundesliga,Energie Cottbus
Bundesliga,FC 08 Homburg
Bundesliga,FC Augsburg
Bundesliga,FC Cologne
Bundesliga,FC Ingolstadt
Bundesliga,FC Kaiserslautern
Bundesliga,FC Sankt Pauli
Bundesliga,FC Sarrebruck
Bundesliga,FSV Mainz
Bundesliga,Fortuna Düsseldorf
Bundesliga,Greuther Fürth
Bundesliga,Hambourg SV
Bundesliga,Hanovre 96
Bundesliga,Hansa Rostock
Bundesliga,Hertha BSC Berlin
Bundesliga,Karlsruher SC
Bundesliga,Kickers Offenbach
Bundesliga,MSV Duisbourg
Bundesliga,Mayence 05
Bundesliga,Munich 1860
Bundesliga,RB Leipzig
Bundesliga,SC Fribourg
Bundesliga,SC Paderborn 07
Bundesliga,SG Wattenscheid 09
Bundesliga,SSV Ulm 1846
Bundesliga,SV Darmstadt 98
Bundesliga,Schalke 04
Bundesliga,St. Pauli
Bundesliga,Stuttgarter Kickers
Bundesliga,TSG 1899 Hoffenheim
Bundesliga,Unterhaching
Bundesliga,VfB Leipzig
Bundesliga,VfB Stuttgart
Bundesliga,VfL Bochum
Bundesliga,VfL Wolfsburg
Bundesliga,Vfb Stuttgart
Bundesliga,Waldhof Mannheim
Bundesliga,Werder Brême
Liga,AD Almería
Liga,Albacete Balompié
Liga,Athletic Bilbao
Liga,Atlético Madrid
Liga,Betis Séville
Liga,Burgos CF
Liga,CA Osasuna
Liga,CD Castellón
Liga,CD Leganés
Liga,CD Logroñés
Liga,CD Málaga
Liga,CD Numancia
Liga,CD Tenerife
Liga,CE Sabadell
Liga,CF Extremadura
Liga,CP Mérida
Liga,Cadix CF
Liga,Celta Vigo
Liga,Córdoba CF
Liga,Deportivo Alavés
Liga,Deportivo La Corogne
Liga,Elche CF
Liga,Espanyol Barcelone
Liga,FC Barcelone
Liga,Getafe CF
Liga,Gimnàstic de Tarragona
Liga,Grenade CF
Liga,Hércules Alicante
Liga,Las Palmas
Liga,Levante UD
Liga,Málaga CF
Liga,Osasuna Pampelune
Liga,RCD Majorque
Liga,Racing Santander
Liga,Rayo Vallecano
Liga,Real Betis Balompié
Liga,Real Betis Séville
Liga,Real Madrid
Liga,Real Majorque
Liga,Real Murcie
Liga,Real Oviedo
Liga,Real Saragosse
Liga,Real Sociedad
Liga,Real Sporting de Gijón
Liga,Real Valladolid
Liga,Recreativo Huelva
Liga,SD Compostela
Liga,SD Eibar
Liga,Sporting de Gijón
Liga,Séville FC
Liga,UD Almería
Liga,UD Las Palmas
Liga,UD Salamanca
Liga,UE Lleida
Liga,Valencia CF
Liga,Villarreal CF
Liga,Xerez CD
Ligue 1,AC Ajaccio
Ligue 1,AC Arles-Avignon
Ligue 1,AJ Auxerre
Ligue 1,AS Cannes
Ligue 1,AS Monaco FC
Ligue 1,AS Nancy Lorraine
Ligue 1,AS Saint-Étienne
Ligue 1,Angers SCO
Ligue 1,Auxerre
Ligue 1,Bordeaux
Ligue 1,Brest Armorique FC
Ligue 1,CS Sedan Ardennes
Ligue 1,Chamois niortais FC
Ligue 1,Dijon FCO
Ligue 1,EA Guingamp
Ligue 1,FC Brest Armorique
Ligue 1,FC Girondins de Bordeaux
Ligue 1,FC Gueugnon
Ligue 1,FC Istres OP
Ligue 1,FC Lorient
Ligue 1,FC Martigues
Ligue 1,FC Metz
Ligue 1,FC Mulhouse
Ligue 1,FC Nantes
Ligue 1,FC Rouen
Ligue 1,FC Sochaux-Montbéliard
Ligue 1,FC Tours
Ligue 1,GFC Ajaccio
Ligue 1,Girondins de Bordeaux
Ligue 1,Grenoble Foot 38
Ligue 1,LB Châteauroux
Ligue 1,Le Havre AC
Ligue 1,Le Mans UC 72
Ligue 1,Lille OSC
Ligue 1,Lorient
Ligue 1,Matra Racing
Ligue 1,Montpellier HSC
Ligue 1,Nancy
Ligue 1,Nantes
Ligue 1,Nice
Ligue 1,Nîmes Olympique
Ligue 1,OGC Nice
